date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,1_day_max,1_day_min,3_day_max,3_day_min,5_day_max,5_day_min,day_of_week
2026-03-19,606.7,613.0,602.26,612.15,13247696,606.7,613.0,602.26,612.15,13247696,0.0,1.0,615.68,622.65,614.61,616.34,11726301.0,613.0,602.26,636.55,602.26,636.55,602.26,4
2026-03-20,593.66,603.955,587.25,603.53,21214898,593.66,603.955,587.25,603.53,21214898,0.0,1.0,606.7,613.0,602.26,612.15,13247696.0,603.955,587.25,622.65,587.25,636.55,587.25,5
2026-03-23,604.06,608.64,599.01,605.787,13637959,604.06,608.64,599.01,605.787,13637959,0.0,1.0,593.66,603.955,587.25,603.53,21214898.0,608.64,599.01,608.64,599.01,613.0,587.25,1
2026-03-24,592.92,601.0,591.0,599.1,10739742,592.92,601.0,591.0,599.1,10739742,0.0,1.0,604.06,608.64,599.01,605.787,13637959.0,601.0,591.0,608.64,591.0,608.64,587.25,2
2026-03-25,594.89,603.67,593.4,598.74,12585031,594.89,603.67,593.4,598.74,12585031,0.0,1.0,592.92,601.0,591.0,599.1,10739742.0,603.67,593.4,608.64,591.0,608.64,591.0,3
2026-03-26,547.54,583.0,543.35,582.49,35780131,547.54,583.0,543.35,582.49,35780131,0.0,1.0,594.89,603.67,593.4,598.74,12585031.0,583.0,543.35,603.67,543.35,608.64,543.35,4
2026-03-27,525.72,543.5999,520.26,540.1,30133010,525.72,543.5999,520.26,540.1,30133010,0.0,1.0,547.54,583.0,543.35,582.49,35780131.0,543.5999,520.26,603.67,520.26,608.64,520.26,5
2026-03-30,536.38,539.55,528.54,536.38,22795203,536.38,539.55,528.54,536.38,22795203,0.0,1.0,525.72,543.5999,520.26,540.1,30133010.0,539.55,528.54,539.55,528.54,583.0,520.26,1
2026-03-31,572.13,573.69,546.77,549.98,32898272,572.13,573.69,546.77,549.98,32898272,0.0,1.0,536.38,539.55,528.54,536.38,22795203.0,573.69,546.77,573.69,528.54,573.69,520.26,2
2026-04-01,579.23,592.5465,573.82,580.13,23608128,579.23,592.5465,573.82,580.13,23608128,0.0,1.0,572.13,573.69,546.77,549.98,32898272.0,592.5465,573.82,592.5465,528.54,592.5465,528.54,3
2026-04-02,574.46,578.5,559.7,566.035,13518547,574.46,578.5,559.7,566.035,13518547,0.0,1.0,579.23,592.5465,573.82,580.13,23608128.0,578.5,559.7,592.5465,546.77,592.5465,528.54,4
2026-04-06,573.02,582.79,572.0,577.69,9515651,573.02,582.79,572.0,577.69,9515651,0.0,1.0,574.46,578.5,559.7,566.035,13518547.0,582.79,572.0,582.79,572.0,582.79,559.7,1
2026-04-07,575.05,575.225,564.76,572.48,9580843,575.05,575.225,564.76,572.48,9580843,0.0,1.0,573.02,582.79,572.0,577.69,9515651.0,575.225,564.76,582.79,564.76,582.79,564.76,2
2026-04-08,612.42,629.95,591.83,606.0,32036638,612.42,629.95,591.83,606.0,32036638,0.0,1.0,575.05,575.225,564.76,572.48,9580843.0,629.95,591.83,629.95,564.76,629.95,564.76,3
2026-04-09,628.39,637.5,623.0,626.97,19012912,628.39,637.5,623.0,626.97,19012912,0.0,1.0,612.42,629.95,591.83,606.0,32036638.0,637.5,623.0,637.5,564.76,637.5,564.76,4
2026-04-10,629.86,638.58,624.33,634.47,13294844,629.86,638.58,624.33,634.47,13294844,0.0,1.0,628.39,637.5,623.0,626.97,19012912.0,638.58,624.33,638.58,591.83,638.58,564.76,5
2026-04-13,634.53,635.0,624.4,629.5,9538931,634.53,635.0,624.4,629.5,9538931,0.0,1.0,629.86,638.58,624.33,634.47,13294844.0,635.0,624.4,635.0,624.4,638.58,623.0,1
2026-04-14,662.49,666.26,639.3705,643.22,17817956,662.49,666.26,639.3705,643.22,17817956,0.0,1.0,634.53,635.0,624.4,629.5,9538931.0,666.26,639.3705,666.26,624.4,666.26,624.33,2
2026-04-15,671.58,678.5,664.22,667.0,14952577,671.58,678.5,664.22,667.0,14952577,0.0,1.0,662.49,666.26,639.3705,643.22,17817956.0,678.5,664.22,678.5,624.4,678.5,624.4,3
2026-04-16,676.87,677.58,667.75,675.99,9544835,676.87,677.58,667.75,675.99,9544835,0.0,1.0,671.58,678.5,664.22,667.0,14952577.0,677.58,667.75,678.5,639.3705,678.5,624.4,4
2026-04-17,688.55,691.52,675.13,678.6,16283480,688.55,691.52,675.13,678.6,16283480,0.0,1.0,676.87,677.58,667.75,675.99,9544835.0,691.52,675.13,691.52,664.22,691.52,624.4,5
2026-04-20,670.91,683.38,668.0,681.36,12533951,670.91,683.38,668.0,681.36,12533951,0.0,1.0,688.55,691.52,675.13,678.6,16283480.0,683.38,668.0,683.38,668.0,691.52,667.75,1
2026-04-21,668.84,676.2,667.33,671.0,8660100,668.84,676.2,667.33,671.0,8660100,0.0,1.0,670.91,683.38,668.0,681.36,12533951.0,676.2,667.33,683.38,667.33,691.52,667.33,2
2026-04-22,674.72,678.38,669.75,674.355,9215603,674.72,678.38,669.75,674.355,9215603,0.0,1.0,668.84,676.2,667.33,671.0,8660100.0,678.38,669.75,683.38,667.33,683.38,667.33,3
2026-04-23,659.15,669.56,653.05,663.7,11666981,659.15,669.56,653.05,663.7,11666981,0.0,1.0,674.72,678.38,669.75,674.355,9215603.0,669.56,653.05,678.38,653.05,683.38,653.05,4
2026-04-24,675.03,680.67,653.8401,660.32,13348279,675.03,680.67,653.8401,660.32,13348279,0.0,1.0,659.15,669.56,653.05,663.7,11666981.0,680.67,653.8401,680.67,653.05,683.38,653.05,5
2026-04-27,678.62,682.5,670.84,670.995,12805222,678.62,682.5,670.84,670.995,12805222,0.0,1.0,675.03,680.67,653.8401,660.32,13348279.0,682.5,670.84,682.5,670.84,682.5,653.05,1
2026-04-28,671.34,678.18,665.625,674.24,10606755,671.34,678.18,665.625,674.24,10606755,0.0,1.0,678.62,682.5,670.84,670.995,12805222.0,678.18,665.625,682.5,665.625,682.5,653.8401,2
2026-04-29,669.12,674.25,663.8084,668.91,18947464,669.12,674.25,663.8084,668.91,18947464,0.0,1.0,671.34,678.18,665.625,674.24,10606755.0,674.25,663.8084,682.5,663.8084,682.5,663.8084,3
2026-04-30,611.91,620.85,600.0,619.32,52764984,611.91,620.85,600.0,619.32,52764984,0.0,1.0,669.12,674.25,663.8084,668.91,18947464.0,620.85,600.0,678.18,600.0,682.5,600.0,4
2026-05-01,608.745,618.88,606.11,614.69,21404028,608.745,618.88,606.11,614.69,21404028,0.0,1.0,611.91,620.85,600.0,619.32,52764984.0,618.88,606.11,674.25,600.0,682.5,600.0,5
2026-05-04,610.41,614.0,602.7501,607.935,16203902,610.41,614.0,602.7501,607.935,16203902,0.0,1.0,608.745,618.88,606.11,614.69,21404028.0,614.0,602.7501,614.0,602.7501,620.85,600.0,1
2026-05-05,604.96,614.35,600.36,613.31,17171301,604.96,614.35,600.36,613.31,17171301,0.0,1.0,610.41,614.0,602.7501,607.935,16203902.0,614.35,600.36,614.35,600.36,618.88,600.36,2
2026-05-06,612.88,619.95,598.1,601.05,19915460,612.88,619.95,598.1,601.05,19915460,0.0,1.0,604.96,614.35,600.36,613.31,17171301.0,619.95,598.1,619.95,598.1,619.95,598.1,3
2026-05-07,616.81,624.98,613.5401,614.72,12307372,616.81,624.98,613.5401,614.72,12307372,0.0,1.0,612.88,619.95,598.1,601.05,19915460.0,624.98,613.5401,624.98,598.1,624.98,598.1,4
