date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-03-12,638.18,653.5,636.9,648.75,11617485,637.6464684104,652.9536605757,636.3675385167,648.2076316732,11617485,0.0,1.0,654.86,659.12,648.36,654.76,8977162.0,4,-0.1132075471698113,0.7848121152733857,0.1509433962264151,0.2641509433962264,0.5849056603773585
2026-03-13,613.71,629.1699,609.55,623.89,18957637,613.196925833,628.6439010391,609.0404036785,623.3684151439,18957637,0.0,1.0,638.18,653.5,636.9,648.75,11617485.0,5,-0.0217391304347826,0.8382302328296329,0.217391304347826,0.2391304347826087,0.5434782608695652
2026-03-16,627.45,634.75,623.1004,632.0,15134852,627.45,634.75,623.1004,632.0,15134852,0.525,1.0,613.71,629.1699,609.55,623.89,18957637.0,1,0.0606060606060606,0.7975583820029942,0.2727272727272727,0.2121212121212121,0.5151515151515151
2026-03-17,622.66,636.55,621.7,627.985,10348755,622.66,636.55,621.7,627.985,10348755,0.0,1.0,627.45,634.75,623.1004,632.0,15134852.0,2,-0.0338983050847457,0.8246988285396059,0.1525423728813559,0.1864406779661017,0.6610169491525424
2026-03-18,615.68,622.65,614.61,616.34,11726301,615.68,622.65,614.61,616.34,11726301,0.0,1.0,622.66,636.55,621.7,627.985,10348755.0,3,-0.0677966101694915,0.834602854009402,0.1694915254237288,0.2372881355932203,0.5932203389830508
2026-03-19,606.7,613.0,602.26,612.15,13247696,606.7,613.0,602.26,612.15,13247696,0.0,1.0,615.68,622.65,614.61,616.34,11726301.0,4,-0.1458333333333333,0.8158869997908672,0.0833333333333333,0.2291666666666666,0.6875
2026-03-20,593.66,603.955,587.25,603.53,21214898,593.66,603.955,587.25,603.53,21214898,0.0,1.0,606.7,613.0,602.26,612.15,13247696.0,5,-0.2790697674418604,0.8027826055537822,0.0697674418604651,0.3488372093023256,0.5813953488372093
2026-03-23,604.06,608.64,599.01,605.787,13637959,604.06,608.64,599.01,605.787,13637959,0.0,1.0,593.66,603.955,587.25,603.53,21214898.0,1,-0.1627906976744186,0.8351433332576308,0.0697674418604651,0.2325581395348837,0.6976744186046512
2026-03-24,592.92,601.0,591.0,599.1,10739742,592.92,601.0,591.0,599.1,10739742,0.0,1.0,604.06,608.64,599.01,605.787,13637959.0,2,-0.1351351351351351,0.8127942753804697,0.1486486486486486,0.2837837837837837,0.5675675675675675
2026-03-25,594.89,603.67,593.4,598.74,12585031,594.89,603.67,593.4,598.74,12585031,0.0,1.0,592.92,601.0,591.0,599.1,10739742.0,3,-0.2887323943661972,0.8118679112112018,0.0915492957746478,0.380281690140845,0.528169014084507
2026-03-26,547.54,583.0,543.35,582.49,35780131,547.54,583.0,543.35,582.49,35780131,0.0,1.0,594.89,603.67,593.4,598.74,12585031.0,4,-0.2461538461538461,0.7984366880013393,0.123076923076923,0.3692307692307692,0.5076923076923077
2026-03-27,525.72,543.5999,520.26,540.1,30133010,525.72,543.5999,520.26,540.1,30133010,0.0,1.0,547.54,583.0,543.35,582.49,35780131.0,5,-0.1153846153846153,0.8055193447149717,0.1442307692307692,0.2596153846153846,0.5961538461538461
